"","meses_no_local_alocado","churn","idade","anos_formacao","atuacao_previa_no_municipio","anos_atuacao_previa_no_municipio","media_vinculos_mes","Prorrogado","m_agente_saude","m_tec_aux_enf","m_enfermeiro","m_dentista","regiao_destino","populacao","porte","pib_percapita","variacao_pib","tx_pop_ocupada_2019","orcamento_saude","esgotamento_sanitario","taxa_homicidio","ideb_anosfinais","investimento_infraestrutura","equipamentos_esportivos","equipamentos_culturais","distancia_capital"
"1006",68,"permanece",40,8.08487337440109,"Não",0,1,"SIM",3.52307692307692,1.34076923076923,1.28769230769231,NA,"Sul",32097,"PP-II",29146.11,128,18.4098202324205,897.94,66.28,45.291,NA,4364.005,0,12.15,651
"1007",67,"permanece",33,0.58590006844627,"Não",0,1.67164179104478,"SIM",4.27053571428571,9.3609375,3.53526785714286,NA,"Sul",182093,"GP",33642.77,125,26.8291477431862,651.27,92.28,11.57,NA,2087.973,3.882,2.773,256
"1008",13,"migrou",50,11.0855578370979,"Não",0,1,"NÃO",5,4,1.23076923076923,0.923076923076923,"Sul",42062,"PP-II",23592.9,122,18.9767486091959,1083.9,99.99,35.072,NA,5024.118,0,2.733,131
"1009",42,"migrou",32,0.251882272416153,"Não",0,1,"NÃO",12.4210526315789,6.89473684210526,3.26315789473684,NA,"Sul",28830,"PP-II",22216.25,102,23.1321540062435,791.73,20.44,15.942,NA,3871.273,9.633,9.633,297
"1010",68,"permanece",32,0.0848733744010951,"Não",0,1,"SIM",3,1.32352941176471,1.10294117647059,NA,"Sul",8991,"PP-I",28165.85,160,13.8694249805361,1156.77,0,0,NA,4160.289,24.922,12.461,657
"1011",20,"migrou",30,0.503764544832307,"Não",0,1,"NÃO",6,2.65,1,1.375,"Sul",3572,"PP-I",26965.84,214,13.4938409854423,1801.42,0,0,NA,5424.493,0,33.887,602
"1012",6,"migrou",36,0.167008898015058,"Não",0,1,"NÃO",9,3.66666666666667,2.33333333333333,NA,"Sul",32720,"PP-II",26013.06,130,23.2732273838631,697.22,14.59,6.253,NA,2793.242,3.122,9.365,394
"1013",68,"permanece",34,2.99794661190965,"Não",0,1.58823529411765,"SIM",7.01470588235294,10.9871323529412,4.34558823529412,NA,"Sul",32720,"PP-II",26013.06,130,23.2732273838631,697.22,14.59,6.253,NA,2793.242,3.122,9.365,394
"1014",3,"migrou",29,0.0848733744010951,"Não",0,1,"NÃO",8.33333333333333,4,2,NA,"Sul",32720,"PP-II",26013.06,130,23.2732273838631,697.22,14.59,6.253,NA,2793.242,3.122,9.365,394
"1015",68,"migrou",41,9.50308008213552,"Não",0,1.22058823529412,"NÃO",3.90361445783133,6.36144578313253,2.5855421686747,0.721686746987952,"Sul",55836,"MP",44316.94,111,34.0819542947202,977.08,29.1,5.666,NA,3495.466,13.364,13.364,579
