"","meses_no_local_alocado","churn","idade","atuacao_previa_no_municipio","anos_atuacao_previa_no_municipio","media_vinculos_mes","Prorrogado","m_agente_saude","m_tec_aux_enf","m_enfermeiro","m_dentista","regiao_destino","populacao","porte","pib_percapita","variacao_pib","pop_ocupada_2019","var_taxa_ocupacao","orcamento_saude","esgotamento_sanitario","taxa_homicidio","ideb_anosfinais","investimento_infraestrutura","equipamentos_esportivos","equipamentos_culturais","distancia_capital"
"441",67,"permanece",43,"Sim",2.25,1.65671641791045,"SIM",7.92079207920792,4.68316831683168,2.59405940594059,1,"Centro-oeste",8124,"PP-I",9869.24,79,772,23.895838413509,670.8,0,22.517,NA,3536.956,11.521,57.604,526
"442",66,"migrou",38,"Não",0,1.43939393939394,"NÃO",3.49473684210526,2.30315789473684,2.51368421052632,NA,"Centro-oeste",1685,"PP-I",24688.42,130,294,36.1103962606024,1736.4,0,65.402,NA,9735.873,128.452,64.226,178
"443",24,"migrou",36,"Não",0,1,"NÃO",4,1.66666666666667,1.41666666666667,1,"Centro-oeste",12521,"PP-I",63346.89,74,1995,2.64846465616012,718.02,44.9,22.395,4.8,1438.49,15.25,7.625,279
"444",24,"migrou",42,"Não",0,1,"NÃO",8,2.04166666666667,1.20833333333333,1,"Centro-oeste",51351,"MP",30658.26,90,10046,-6.67374983923347,657.33,75.34,17.34,5.9,2257.363,10.937,6.562,131
"445",45,"migrou",34,"Não",0,1.82222222222222,"SIM",5,1.77222222222222,1.02222222222222,1,"Centro-oeste",3564,"PP-I",17217.93,99,273,2.3718083613917,1198.15,0,26.469,NA,122.678,52.729,0,411
"446",31,"migrou",28,"Não",0,1.93548387096774,"NÃO",9.56,4.28,1.52,1.38,"Centro-oeste",34964,"PP-II",25223.67,39,6052,-3.66096548190845,483.69,34.98,28.024,4.6,1517.979,4.344,10.86,377
"447",42,"migrou",33,"Não",0,1.57142857142857,"NÃO",9,2.11904761904762,1.54761904761905,1.4047619047619,"Centro-oeste",3132,"PP-I",29149.54,115,252,-0.648393751842036,998.68,0,0,NA,2374.285,57.803,28.902,303
"448",9,"migrou",36,"Não",0,1,"NÃO",3,1,1,NA,"Centro-oeste",31858,"PP-II",40242.54,88,7296,11.2337454269136,800.37,80.69,24.257,5.6,1459.555,17.66,7.064,95
"449",72,"migrou",70,"Sim",13.4166666666667,1.71929824561404,"NÃO",6,1.87121212121212,1,1.22727272727273,"Centro-oeste",2259,"PP-I",16790.16,105,345,24.2532772510423,1759.28,0,41.999,NA,1585.46,42.017,84.034,125
"450",1,"migrou",34,"Não",0,1,"NÃO",6,3.15,1.15,2.15,"Centro-oeste",10659,"PP-I",86429,178,2368,45.6439694727025,1030.11,75.41,27.303,6.1,312.986,18.19,9.095,157
"451",8,"migrou",31,"Não",0,1,"NÃO",5.5,4.0375,1.13125,2.13125,"Centro-oeste",10659,"PP-I",86429,178,2368,45.6439694727025,1030.11,75.41,27.303,6.1,312.986,18.19,9.095,157
