"","meses_no_local_alocado","churn","idade","atuacao_previa_no_municipio","anos_atuacao_previa_no_municipio","media_vinculos_mes","Prorrogado","m_agente_saude","m_tec_aux_enf","m_enfermeiro","m_dentista","regiao_destino","populacao","porte","pib_percapita","variacao_pib","pop_ocupada_2019","var_taxa_ocupacao","orcamento_saude","esgotamento_sanitario","taxa_homicidio","ideb_anosfinais","investimento_infraestrutura","equipamentos_esportivos","equipamentos_culturais","distancia_capital"
"1",66,"permanece",35,"Não",0,2.34848484848485,"NÃO",9.47368421052632,8.51315789473684,4.81578947368421,NA,"Norte",91888,"MP",16291.3,66,10435,13.2261201652388,366.57,0,33.946,4.3,103.676,5.703,9.125,636
"2",8,"migrou",30,"Não",0,1,"NÃO",13.375,1,1.625,1,"Nordeste",15816,"PP-I",12145.64,61,2506,-46.6180858567569,683.09,0,64.522,4.7,5021.768,18.54,4.635,114
"3",67,"permanece",75,"Não",0,1,"SIM",9.44776119402985,3.58582089552239,1.90298507462687,1.34328358208955,"Nordeste",25397,"PP-II",10264.33,120,2199,97.4190995035096,626.3,0,37.161,4.6,3097.942,0,4.144,147
"4",35,"migrou",37,"Não",0,1,"NÃO",7.77142857142857,1,1,NA,"Nordeste",36102,"PP-II",9291.75,111,1230,-15.8591817111975,457.94,0,19.552,5.3,3190.453,2.464,4.928,155
"5",66,"migrou",62,"Não",0,1,"SIM",5.31818181818182,2,1,1,"Nordeste",21372,"PP-II",15723.83,109,3646,3.15540815916013,614.94,0,24.491,4,4048.908,12.291,4.097,158
"6",66,"migrou",39,"Não",0,1,"NÃO",6.83720930232558,2.7906976744186,1.09302325581395,1.09302325581395,"Nordeste",21372,"PP-II",15723.83,109,3646,3.15540815916013,614.94,0,24.491,4,4048.908,12.291,4.097,158
"7",18,"migrou",29,"Não",0,1,"NÃO",8,1,1,1,"Nordeste",4092,"PP-I",11400.33,67,448,19.4916911045943,801.87,0,0,4.1,3399.432,23.952,23.952,128
"8",42,"migrou",34,"Não",0,1.02380952380952,"SIM",6.21428571428571,3.27380952380952,1.26190476190476,NA,"Nordeste",23907,"PP-II",14107.99,143,2731,39.2070226456079,720.53,0,40.442,6.3,0,4.044,20.218,112
"9",9,"migrou",33,"Não",0,1,"NÃO",6,2,1,1,"Nordeste",23907,"PP-II",14107.99,143,2731,39.2070226456079,720.53,0,40.442,6.3,0,4.044,20.218,112
"10",33,"migrou",35,"Não",0,1,"NÃO",9.93939393939394,2.95454545454545,1,1.57575757575758,"Nordeste",23907,"PP-II",14107.99,143,2731,39.2070226456079,720.53,0,40.442,6.3,0,4.044,20.218,112
"11",68,"permanece",57,"Sim",3.33333333333333,2.05970149253731,"NÃO",17.5890410958904,3.02739726027397,2.16438356164384,NA,"Nordeste",21844,"PP-II",9759.12,174,957,10.4117975701542,528.75,0,27.76,4,290.639,7.928,3.964,285
"12",66,"migrou",40,"Não",0,1,"SIM",8.45454545454546,6.01136363636364,2.72348484848485,2.99242424242424,"Nordeste",23857,"PP-II",12398.77,128,3983,2.47688715153596,651,0,32.465,4.1,3121.593,4.057,4.057,80
"13",9,"migrou",36,"Não",0,1,"NÃO",6,4,1.11111111111111,1,"Nordeste",10812,"PP-I",7224.89,90,718,18.3235174775936,477.96,0,8.603,4.2,10668.792,17.255,8.627,277
"14",67,"migrou",31,"Não",0,1,"NÃO",7.52238805970149,2.36194029850746,1.08955223880597,1,"Nordeste",23823,"PP-II",8793.34,121,1766,61.9367375680044,615.13,0,28.69,4.3,6616.055,12.272,4.091,237
"15",52,"migrou",32,"Sim",0.25,1,"NÃO",6.95238095238095,2,1,NA,"Nordeste",58650,"MP",12462.07,87,6724,-20.5268812341989,822.81,0,25.124,5,0,15.744,9.446,164
"16",20,"migrou",39,"Não",0,1,"NÃO",7,1.75,1,1,"Nordeste",58650,"MP",12462.07,87,6724,-20.5268812341989,822.81,0,25.124,5,0,15.744,9.446,164
"17",33,"migrou",36,"Não",0,1,"NÃO",7.54545454545455,1.39393939393939,1,NA,"Nordeste",30604,"PP-II",8434.58,140,2318,27.2427284040703,614.54,0,37.198,4.6,5653.043,3.114,12.457,216
"18",11,"migrou",37,"Não",0,1,"NÃO",6,1,1,1,"Nordeste",31786,"PP-II",16447.93,192,2037,-7.51330031306637,631.02,0,32.209,3.9,3268.517,5.88,2.94,127
"19",29,"migrou",33,"Não",0,1,"NÃO",7.31034482758621,2.55172413793103,1,NA,"Nordeste",19032,"PP-I",15589.38,216,1089,10.2647788207607,619.1,0,25.025,4.6,2989.385,0,10.057,113
"20",66,"migrou",39,"Não",0,1,"SIM",5.77272727272727,2.86363636363636,1,1,"Nordeste",38053,"PP-II",12101.51,102,5267,-3.70347501490501,755.56,63.1,22.64,6.7,3487.132,11.374,6.824,98
"21",48,"migrou",36,"Não",0,1,"SIM",7,1.52083333333333,1.60416666666667,1.14583333333333,"Nordeste",59280,"MP",15997.01,128,5057,-36.8446515493292,703.3,68.83,30.483,4.7,2533.336,3.055,4.583,77
"22",12,"migrou",29,"Não",0,1,"NÃO",7.33333333333333,2.41666666666667,1,1.08333333333333,"Nordeste",59280,"MP",15997.01,128,5057,-36.8446515493292,703.3,68.83,30.483,4.7,2533.336,3.055,4.583,77
"23",8,"migrou",31,"Não",0,1,"NÃO",14.5,2.375,2.0625,1.375,"Nordeste",59280,"MP",15997.01,128,5057,-36.8446515493292,703.3,68.83,30.483,4.7,2533.336,3.055,4.583,77
"24",13,"migrou",52,"Não",0,1,"NÃO",23.2307692307692,5.98076923076923,3,2,"Norte",35447,"PP-II",12949.84,155,2326,3.13207110253258,535.08,0,32.062,5.3,0,8.83,2.943,1555
"25",50,"migrou",50,"Não",0,1.04,"SIM",11,3.24423076923077,1.74423076923077,NA,"Norte",57473,"MP",13105.57,166,3646,18.4336782965837,649.37,0,18.155,3.7,3024.193,16.666,3.704,698
"26",35,"migrou",41,"Sim",3.33333333333333,1,"NÃO",14.5714285714286,4.34285714285714,1.65714285714286,NA,"Norte",57473,"MP",13105.57,166,3646,18.4336782965837,649.37,0,18.155,3.7,3024.193,16.666,3.704,698
"27",38,"migrou",72,"Não",0,1,"SIM",6.71052631578947,2.07894736842105,1,NA,"Norte",57473,"MP",13105.57,166,3646,18.4336782965837,649.37,0,18.155,3.7,3024.193,16.666,3.704,698
"28",67,"permanece",40,"Não",0,1.11940298507463,"SIM",8.56,3.12666666666667,1.06666666666667,1.07333333333333,"Norte",57473,"MP",13105.57,166,3646,18.4336782965837,649.37,0,18.155,3.7,3024.193,16.666,3.704,698
"29",67,"permanece",32,"Não",0,1,"SIM",8.80597014925373,4,1.17910447761194,NA,"Norte",57473,"MP",13105.57,166,3646,18.4336782965837,649.37,0,18.155,3.7,3024.193,16.666,3.704,698
"30",8,"migrou",32,"Não",0,1,"NÃO",19,6,3,1.5,"Norte",101883,"GP",15429.98,103,7184,2.90510523321683,557.64,0,26.7,4.6,2464.472,0,0,99
"31",67,"permanece",58,"Não",0,1,"SIM",12.6716417910448,6.65298507462687,3.51119402985075,1,"Norte",101883,"GP",15429.98,103,7184,2.90510523321683,557.64,0,26.7,4.6,2464.472,0,0,99
"32",67,"migrou",61,"Sim",0.583333333333333,1,"SIM",15.1076923076923,9.16153846153846,3.31538461538462,1.50769230769231,"Norte",101883,"GP",15429.98,103,7184,2.90510523321683,557.64,0,26.7,4.6,2464.472,0,0,99
"33",72,"permanece",40,"Sim",4.83333333333333,2.73134328358209,"NÃO",28.1111111111111,6.75396825396825,3.84126984126984,1.80952380952381,"Norte",66764,"MP",9024.99,99,4211,44.9844915078339,382.08,0,57.712,3.6,3205.301,9.304,10.855,1.106
"34",10,"migrou",32,"Não",0,1,"NÃO",8,4,3,2,"Norte",21924,"PP-II",13412.92,51,1352,-14.8847484621251,610.14,1.48,36.982,NA,870.184,4.716,4.716,67
"35",10,"migrou",31,"Não",0,1,"NÃO",5,3.2,1.4,1,"Nordeste",13795,"PP-I",8360.52,47,875,9.99075644850312,641.84,0,138.532,3,6766.03,6.61,13.22,182
"36",16,"migrou",37,"Sim",1.58333333333333,1,"NÃO",5,1.2,1,1,"Nordeste",151055,"GP",28689.58,122,29990,18.621611549572,666.13,35.27,58.049,3.8,3717.348,1.326,2.652,112
"37",22,"migrou",34,"Não",0,1,"NÃO",5.13636363636364,1.18181818181818,1,1.40909090909091,"Nordeste",151055,"GP",28689.58,122,29990,18.621611549572,666.13,35.27,58.049,3.8,3717.348,1.326,2.652,112
"38",31,"migrou",33,"Não",0,1,"NÃO",7,2.01370967741935,1.48387096774194,1.03225806451613,"Nordeste",36521,"PP-II",10695.46,100,4386,-1.06970681498117,498.69,2.29,18.796,3.9,6192.445,5.401,10.802,226
"39",2,"migrou",34,"Não",0,1,"NÃO",5,2,1,NA,"Nordeste",36521,"PP-II",10695.46,100,4386,-1.06970681498117,498.69,2.29,18.796,3.9,6192.445,5.401,10.802,226
"40",66,"migrou",36,"Não",0,1,"SIM",3.38888888888889,2.05555555555556,1,1.16666666666667,"Nordeste",15137,"PP-I",8280.84,119,645,-17.5622646495343,538.8,0,31.067,4.4,7011.942,12.425,18.637,430
"41",11,"migrou",36,"Não",0,1,"NÃO",6.09090909090909,4.90909090909091,1.09090909090909,1.75,"Nordeste",10862,"PP-I",6178.61,85,654,19.4976784923388,492.92,0,50.856,4.1,2542.459,17.072,17.072,395
"42",31,"migrou",58,"Não",0,1,"NÃO",5,1,1,NA,"Nordeste",48294,"PP-II",7997.96,84,3236,4.08842082844085,441.49,38.29,68.041,3.8,871.689,5.545,11.091,218
"43",66,"migrou",47,"Não",0,1,"NÃO",5.2962962962963,2.12962962962963,1,1,"Nordeste",13614,"PP-I",12203.7,155,894,40.1383013905517,699.98,0,21.619,3.8,6261.969,0,7.234,812
"44",33,"migrou",32,"Não",0,1,"NÃO",6,6.95984848484848,4.56666666666667,NA,"Nordeste",11958,"PP-I",6921.39,83,781,-34.3881732321629,476.44,5.66,0,3.7,9401.864,30.264,37.83,317
"45",66,"permanece",66,"Não",0,1,"SIM",4.27272727272727,2.56060606060606,1.45454545454545,NA,"Nordeste",51092,"MP",7096.21,100,2965,15.4216310930567,413.51,0,22.397,3.5,4616.717,3.757,7.514,673
"46",35,"migrou",37,"Sim",1.75,1,"NÃO",7,2,1,NA,"Nordeste",36539,"PP-II",12329.02,118,2474,18.1857731431366,623.14,1.08,66.449,3.8,1385.535,12.493,9.37,495
"47",32,"migrou",32,"Não",0,1.03125,"NÃO",5.375,1,0.96875,NA,"Nordeste",15146,"PP-I",8024.12,90,1069,21.6167590926442,616.38,0,62.582,3,1191.57,18.779,12.52,202
"48",72,"migrou",42,"Sim",2.58333333333333,2.78260869565217,"NÃO",4,1.5,1,NA,"Nordeste",65550,"MP",16011.33,166,8599,16.7454455569739,892.37,31.7,36.154,4.1,6633.773,4.373,2.915,776
"49",67,"migrou",41,"Sim",2.08333333333333,1.16417910447761,"SIM",5.640625,2.046875,1.375,1,"Nordeste",70510,"MP",24472.88,112,16565,39.1876960678374,1049.83,6.74,29.764,5.1,2791.755,4.474,5.966,534
"50",67,"permanece",33,"Não",0,1,"SIM",4.53731343283582,1.6865671641791,1.22388059701493,1.26865671641791,"Nordeste",70510,"MP",24472.88,112,16565,39.1876960678374,1049.83,6.74,29.764,5.1,2791.755,4.474,5.966,534
"51",26,"migrou",31,"Não",0,1,"NÃO",4,2,1,1,"Nordeste",70510,"MP",24472.88,112,16565,39.1876960678374,1049.83,6.74,29.764,5.1,2791.755,4.474,5.966,534
"52",28,"migrou",32,"Não",0,1.25,"NÃO",10,2.40214285714286,1.51428571428571,NA,"Nordeste",71377,"MP",13388.26,131,5554,0.106917905426826,350.67,6.7,26.683,3.1,3372.764,0,7.051,403
"53",72,"migrou",33,"Sim",1,1.1044776119403,"NÃO",4.85714285714286,1.85714285714286,1.21428571428571,1.22857142857143,"Nordeste",71377,"MP",13388.26,131,5554,0.106917905426826,350.67,6.7,26.683,3.1,3372.764,0,7.051,403
"54",23,"migrou",33,"Não",0,1,"NÃO",4.60869565217391,1.39130434782609,1,NA,"Nordeste",24206,"PP-II",7932.78,95,1473,7.13544091585024,447.33,0,34.383,4.3,4120.62,7.686,0,487
"55",22,"migrou",32,"Não",0,1,"NÃO",4,1.97727272727273,1,1,"Nordeste",24206,"PP-II",7932.78,95,1473,7.13544091585024,447.33,0,34.383,4.3,4120.62,7.686,0,487
"56",9,"migrou",39,"Não",0,1,"NÃO",8.88888888888889,1.66666666666667,1,NA,"Nordeste",32683,"PP-II",11007.28,113,2919,-11.8703519333232,534.44,52.43,35.371,3.3,1643.886,6.39,9.584,554
"57",23,"migrou",33,"Não",0,1,"NÃO",10.7391304347826,2.32608695652174,1,NA,"Nordeste",25247,"PP-II",8326.35,144,1704,47.4392997187785,597.46,0,51.61,3.2,125.038,3.948,7.895,607
"58",13,"migrou",30,"Não",0,1,"NÃO",4,3.57692307692308,1,1,"Nordeste",10744,"PP-I",8141.12,33,814,-39.1412823233647,606.03,0,42.966,3.4,6807.97,8.576,8.576,257
"59",66,"migrou",29,"Não",0,1,"NÃO",3.07575757575758,2.03030303030303,1,1,"Nordeste",19151,"PP-I",15853.98,131,2470,34.0940986096928,624.48,0,5.326,4,6440.17,10.669,0,972
"60",2,"migrou",36,"Sim",0.916666666666667,1,"NÃO",4,1,1,1,"Nordeste",35308,"PP-II",76086.31,187,9505,12.5494144637137,704.77,4.62,48.261,3.3,574.296,6.077,3.039,98
"61",8,"migrou",31,"Não",0,1,"NÃO",5,2,1,1,"Nordeste",17053,"PP-I",8932.2,126,1906,50.732304511043,686.52,0,5.798,5.1,4954.408,11.548,17.322,644
"62",22,"migrou",30,"Não",0,1.36363636363636,"NÃO",3,2,1,1,"Nordeste",17053,"PP-I",8932.2,126,1906,50.732304511043,686.52,0,5.798,5.1,4954.408,11.548,17.322,644
"63",8,"migrou",58,"Não",0,1,"NÃO",10,4.125,2.125,1,"Nordeste",26692,"PP-II",8867.94,69,2085,5.53774803562671,504.26,0,26.543,3.3,5243.003,8.803,4.402,112
"64",31,"migrou",40,"Não",0,1,"NÃO",6.32258064516129,1.35483870967742,1.09677419354839,NA,"Nordeste",34180,"PP-II",9013.64,93,2405,34.8885623401595,647.14,31.3,54.755,3.6,611.539,2.908,8.724,592
"65",36,"migrou",33,"Não",0,1,"NÃO",5.25,1.94444444444444,1.27777777777778,NA,"Nordeste",34180,"PP-II",9013.64,93,2405,34.8885623401595,647.14,31.3,54.755,3.6,611.539,2.908,8.724,592
"66",67,"migrou",48,"Sim",3.83333333333333,1,"SIM",2.98507462686567,3.59253731343284,2.06641791044776,NA,"Nordeste",11884,"PP-I",9652.18,-16,946,28.5761172605935,684.45,0,0,4.5,7439.49,8.227,8.227,592
"67",33,"migrou",33,"Não",0,1,"NÃO",6,2,1,NA,"Nordeste",38098,"PP-II",14312.84,54,4591,3.61819913193236,617.32,13.03,62.231,2.9,3627.465,2.401,4.801,140
"68",25,"migrou",39,"Não",0,1,"NÃO",8,1.4,1,NA,"Nordeste",32554,"PP-II",17169.34,4,4404,16.3184839529859,536.49,0,61.767,3,6031.456,13.557,8.134,163
"69",66,"migrou",42,"Não",0,1.18181818181818,"SIM",4.34848484848485,2.1969696969697,1.07575757575758,1,"Nordeste",113710,"GP",27275.88,99,23569,0.371727817875353,781.41,10.87,51.155,3.6,1221.468,3.561,0.89,645
"70",66,"permanece",38,"Não",0,1.24242424242424,"SIM",11.0746268656716,4.28358208955224,3.02985074626866,1.91044776119403,"Nordeste",113710,"GP",27275.88,99,23569,0.371727817875353,781.41,10.87,51.155,3.6,1221.468,3.561,0.89,645
"71",67,"permanece",39,"Não",0,3.61194029850746,"SIM",4,3.97872340425532,2.1063829787234,NA,"Nordeste",616272,"GP",24259.45,88,134433,4.90403143658682,678.74,54.76,42.936,3.7,1688.107,0.328,1.804,112
"72",11,"migrou",43,"Não",0,1,"SIM",6,2.54545454545455,1,NA,"Nordeste",11059,"PP-I",8028.72,78,777,-1.71043928307225,606.9,82.27,65.858,4.4,4583.878,9.358,9.358,483
"73",65,"permanece",77,"Não",0,1.76923076923077,"SIM",8.17647058823529,2.82352941176471,2.51838235294118,NA,"Nordeste",11059,"PP-I",8028.72,78,777,-1.71043928307225,606.9,82.27,65.858,4.4,4583.878,9.358,9.358,483
"74",67,"permanece",33,"Não",0,1,"SIM",9,1.46268656716418,1.1455223880597,1.21268656716418,"Nordeste",8050,"PP-I",8028.02,121,1016,125.792234957632,699.6,0,28.831,4.2,10867.015,0,27.628,599
"75",45,"migrou",36,"Não",0,1,"SIM",5,1.04444444444444,1.29444444444444,1,"Nordeste",8050,"PP-I",8028.02,121,1016,125.792234957632,699.6,0,28.831,4.2,10867.015,0,27.628,599
"76",67,"migrou",34,"Não",0,1.35820895522388,"SIM",4.81081081081081,1.37837837837838,1.18918918918919,NA,"Nordeste",12309,"PP-I",8043.52,94,833,18.2458535965984,463.47,13.71,15.348,3.4,5768.87,0,7.648,325
"77",42,"migrou",46,"Não",0,1,"SIM",8.66666666666667,4.22619047619048,2.86904761904762,1.76190476190476,"Nordeste",178649,"GP",26756.97,92,33868,4.90216183833549,655.66,60.61,57.908,3.6,2332.956,5.46,2.427,440
"78",66,"permanece",39,"Não",0,1.54545454545455,"NÃO",7.66176470588235,2.55882352941176,1.5,NA,"Nordeste",178649,"GP",26756.97,92,33868,4.90216183833549,655.66,60.61,57.908,3.6,2332.956,5.46,2.427,440
"79",72,"migrou",38,"Sim",0.5,2.91044776119403,"NÃO",5.06666666666667,1,1.2,NA,"Nordeste",178649,"GP",26756.97,92,33868,4.90216183833549,655.66,60.61,57.908,3.6,2332.956,5.46,2.427,440
"80",22,"migrou",32,"Não",0,1,"NÃO",10,2,2.18181818181818,NA,"Nordeste",33790,"PP-II",14394.45,98,3525,16.5017270165876,458.96,49.59,92.671,3.2,3641.166,2.532,0,158
"81",41,"migrou",33,"Não",0,1,"SIM",8,2.1219512195122,1,1,"Nordeste",40706,"PP-II",10431.04,74,5281,1.73016042507751,388.02,28.95,50.138,3.8,4687.583,2.182,4.365,348
"82",67,"migrou",30,"Não",0,1.58208955223881,"SIM",5,1.98214285714286,1.16964285714286,NA,"Nordeste",40706,"PP-II",10431.04,74,5281,1.73016042507751,388.02,28.95,50.138,3.8,4687.583,2.182,4.365,348
"83",30,"migrou",51,"Não",0,1,"NÃO",10,1.13333333333333,1,NA,"Nordeste",56876,"MP",10555.73,109,6623,40.6814542459704,418.21,17.65,35.238,3.3,2896.078,3.347,8.366,208
"84",67,"migrou",40,"Não",0,1,"SIM",5.2089552238806,2.04477611940298,1,1.01492537313433,"Nordeste",28043,"PP-II",9034.92,91,2265,4.00358139973208,435.12,0,48.219,3.2,5494.464,3.461,13.845,133
"85",72,"migrou",39,"Sim",2.25,2.25373134328358,"SIM",7.25757575757576,2.45454545454545,1.3030303030303,1.01515151515152,"Nordeste",74507,"MP",18460.4,127,14362,4.69492664402752,638.07,14.99,42.485,4.9,3503.794,2.763,6.907,477
"86",56,"migrou",33,"Não",0,1,"SIM",9,1.81696428571429,1,1.44642857142857,"Nordeste",65073,"MP",13861.25,134,9866,17.5807655581612,719.9,26.65,40.317,3.7,598.38,0,4.664,275
"87",67,"permanece",34,"Não",0,1,"SIM",7.70149253731343,2.24626865671642,1,1.52238805970149,"Nordeste",65073,"MP",13861.25,134,9866,17.5807655581612,719.9,26.65,40.317,3.7,598.38,0,4.664,275
"88",67,"permanece",39,"Sim",2.66666666666667,1.56716417910448,"NÃO",5,1.75,1.01162790697674,NA,"Nordeste",65073,"MP",13861.25,134,9866,17.5807655581612,719.9,26.65,40.317,3.7,598.38,0,4.664,275
"89",34,"migrou",33,"Não",0,1,"NÃO",9,1.75,1,1,"Nordeste",65073,"MP",13861.25,134,9866,17.5807655581612,719.9,26.65,40.317,3.7,598.38,0,4.664,275
"90",67,"migrou",33,"Não",0,1,"NÃO",6,2.19029850746269,1,1.23880597014925,"Nordeste",65073,"MP",13861.25,134,9866,17.5807655581612,719.9,26.65,40.317,3.7,598.38,0,4.664,275
"91",37,"migrou",38,"Sim",1.66666666666667,1,"NÃO",1.51351351351351,1.40540540540541,1.08108108108108,NA,"Nordeste",27704,"PP-II",11719.82,92,3656,7.47359078142892,487.83,38.02,35.341,3.5,764.868,3.585,0,436
"92",16,"migrou",44,"Sim",1,1,"NÃO",9,1,1.1875,1,"Nordeste",12311,"PP-I",8769.99,135,642,-36.5718840133537,856.06,0,13.861,3.2,11399.641,0,13.975,546
"93",67,"migrou",42,"Não",0,1.66666666666667,"SIM",4.78787878787879,2.49621212121212,1.01515151515152,1,"Nordeste",18781,"PP-I",11450.71,20,1748,-15.1721829420149,442,100,87.843,2.9,2153.976,4.857,19.43,410
"94",23,"migrou",33,"Não",0,1,"NÃO",11.6521739130435,3.47826086956522,1.84782608695652,NA,"Nordeste",59605,"MP",14714.27,90,8987,22.7638505261627,533.46,61.93,85.29,4.5,3649.264,3.1,1.55,758
"95",6,"migrou",36,"Não",0,1,"NÃO",5,2,1,1,"Nordeste",10341,"PP-I",10684.78,151,774,8.14065593231388,598.78,0,22.828,3.6,1923.451,11.101,11.101,458
"96",40,"migrou",42,"Não",0,1,"NÃO",5.7,2.275,1,1,"Nordeste",10341,"PP-I",10684.78,151,774,8.14065593231388,598.78,0,22.828,3.6,1923.451,11.101,11.101,458
"97",66,"migrou",40,"Não",0,1.04918032786885,"NÃO",NA,NA,NA,NA,"Nordeste",65897,"MP",15519.46,4,14417,-35.8328755077855,544.26,94.41,32.831,3.4,4382.47,3.975,3.975,572
"98",1,"migrou",40,"Sim",1,1,"NÃO",7,2,1,1,"Nordeste",10999,"PP-I",8110.94,76,951,11.5312312205766,575.71,0,31.807,3.3,4940.066,7.921,31.686,337
"99",65,"migrou",29,"Não",0,1.12307692307692,"SIM",9,1.37209302325581,0.976744186046512,NA,"Nordeste",10999,"PP-I",8110.94,76,951,11.5312312205766,575.71,0,31.807,3.3,4940.066,7.921,31.686,337
"100",66,"migrou",36,"Não",0,1.98484848484848,"NÃO",10.7478991596639,2.7563025210084,1.10084033613445,1.07394957983193,"Nordeste",11118,"PP-I",9454.24,105,718,12.8079436902966,581.73,41.76,9.096,4.3,4266.352,18.233,9.117,774
"101",67,"migrou",45,"Não",0,2.38805970149254,"SIM",5.08955223880597,3.93731343283582,1.1044776119403,NA,"Nordeste",82590,"MP",17467.26,108,12012,9.29062783361552,727.72,7.7,31.049,3.4,4163.932,2.488,8.707,336
"102",4,"migrou",36,"Não",0,1,"NÃO",4.5,2.5,1,NA,"Nordeste",82590,"MP",17467.26,108,12012,9.29062783361552,727.72,7.7,31.049,3.4,4163.932,2.488,8.707,336
"103",25,"migrou",31,"Não",0,1.4,"NÃO",7.5,3,1,NA,"Nordeste",82590,"MP",17467.26,108,12012,9.29062783361552,727.72,7.7,31.049,3.4,4163.932,2.488,8.707,336
"104",15,"migrou",32,"Não",0,1,"NÃO",7.58333333333333,4.08333333333333,1,NA,"Nordeste",82590,"MP",17467.26,108,12012,9.29062783361552,727.72,7.7,31.049,3.4,4163.932,2.488,8.707,336
"105",11,"migrou",34,"Não",0,1,"NÃO",6,6,1.75,1,"Nordeste",32703,"PP-II",23139.29,43,4423,-0.70612564011293,648.17,27.51,11.915,3.5,265.712,29.954,14.977,409
"106",52,"migrou",38,"Não",0,1,"NÃO",11.1538461538462,2.86538461538462,2.03846153846154,1.88461538461538,"Nordeste",158813,"GP",17459.24,111,27308,4.96923616018141,636.85,80.5,29.494,3.1,3138.846,0.642,3.209,364
"107",72,"migrou",42,"Sim",11.0833333333333,2.92537313432836,"NÃO",9.98360655737705,3.91803278688525,2.31147540983607,1.42622950819672,"Nordeste",158813,"GP",17459.24,111,27308,4.96923616018141,636.85,80.5,29.494,3.1,3138.846,0.642,3.209,364
"108",67,"migrou",45,"Não",0,1,"NÃO",7,2.54054054054054,1.32432432432432,1.43243243243243,"Nordeste",24854,"PP-II",9312.02,94,1595,-1.08837112496377,501.43,0,23.821,4.8,2527.33,4.006,0,456
"109",66,"migrou",31,"Não",0,1,"SIM",4.81818181818182,2.40909090909091,1.21212121212121,1.12121212121212,"Nordeste",5888,"PP-I",10228.63,71,661,0.384760464208526,868.87,0,188.582,3.3,1936.406,0,67.774,498
"110",69,"migrou",44,"Sim",4.33333333333333,1.58208955223881,"SIM",4.7962962962963,1.99074074074074,0.930555555555556,NA,"Nordeste",14105,"PP-I",6183.36,93,1007,76.6948092301899,611.76,0,0,3.5,4167.061,0,6.429,617
"111",49,"migrou",76,"Sim",2.16666666666667,1,"SIM",5.57142857142857,2.42857142857143,1.53061224489796,NA,"Nordeste",7494,"PP-I",8133.08,67,621,4.59035921746514,708.85,0,35.039,4.3,3780.226,23.403,46.806,347
"112",47,"migrou",35,"Não",0,1.5531914893617,"NÃO",9.77777777777778,3.14814814814815,1.03703703703704,NA,"Nordeste",43903,"PP-II",10926.92,64,4268,15.899767685537,544.44,0,8.747,4.4,6576.121,4.406,2.203,605
"113",37,"migrou",43,"Não",0,1.13513513513514,"NÃO",2.23809523809524,1.37380952380952,1.45238095238095,NA,"Nordeste",13544,"PP-I",9767.68,97,974,2.51387378350972,545.06,0,28.939,3.4,14384.564,21.535,14.356,428
"114",67,"migrou",58,"Sim",8.41666666666667,1.04477611940298,"NÃO",5.97058823529412,2.45588235294118,1,1,"Nordeste",10187,"PP-I",7351.35,129,520,33.4165532404728,680.35,0,23.145,4.2,2294.579,0,11.307,492
"115",33,"migrou",32,"Não",0,1,"NÃO",5.84848484848485,3.84848484848485,1.06060606060606,NA,"Nordeste",33594,"PP-II",20472.18,338,2950,22.2433444572705,714.07,38.89,39.534,3.9,3980.747,5.652,16.957,393
"116",29,"migrou",34,"Não",0,1,"NÃO",9.31034482758621,3.17241379310345,1,NA,"Nordeste",33594,"PP-II",20472.18,338,2950,22.2433444572705,714.07,38.89,39.534,3.9,3980.747,5.652,16.957,393
"117",66,"migrou",41,"Não",0,1,"NÃO",8.65151515151515,3.08333333333333,1.25757575757576,1,"Nordeste",20037,"PP-II",16001.37,203,2929,94.7456863188195,554.75,35.16,27.001,3,2499.088,9.027,4.513,231
"118",66,"permanece",42,"Sim",1.08333333333333,1.34848484848485,"SIM",6.15151515151515,2.03030303030303,1.11363636363636,1,"Nordeste",13715,"PP-I",8419.05,127,856,-5.51490751161057,460.35,52.54,0,3.5,5681.062,6.079,6.079,493
"119",67,"migrou",53,"Não",0,2.3134328358209,"SIM",8.01492537313433,2.09701492537313,1.22388059701493,NA,"Nordeste",39509,"PP-II",11475.66,61,6124,-19.597975685646,537.88,4.62,69.163,3.9,6417.154,4.657,4.657,906
"120",44,"migrou",36,"Não",0,1.18181818181818,"SIM",7.36538461538461,1.55769230769231,1.67307692307692,NA,"Nordeste",22633,"PP-II",7306.61,68,1432,19.0161938023598,418.19,0,17.712,3.5,3954.67,10.656,7.104,209
"121",32,"migrou",31,"Não",0,1.1875,"NÃO",6.78947368421053,1.21052631578947,1.34210526315789,1,"Nordeste",22633,"PP-II",7306.61,68,1432,19.0161938023598,418.19,0,17.712,3.5,3954.67,10.656,7.104,209
"122",67,"migrou",36,"Não",0,1,"SIM",6,3.14253731343284,1.41119402985075,1.04477611940298,"Nordeste",13243,"PP-I",7755.68,103,970,67.8803896398097,596.59,0,58.919,4,7540.261,22.057,0,226
"123",67,"permanece",32,"Não",0,1,"SIM",9.56716417910448,3.11641791044776,1.8544776119403,1.91791044776119,"Nordeste",13243,"PP-I",7755.68,103,970,67.8803896398097,596.59,0,58.919,4,7540.261,22.057,0,226
"124",33,"migrou",36,"Não",0,1,"NÃO",6,1.6969696969697,1.03030303030303,NA,"Nordeste",23334,"PP-II",9286.6,120,1777,10.5782768179171,504.22,0,76.147,3.5,5472.984,7.665,3.833,474
